GameAndDrive,FirstDowns,yards_gained,yards_per_first_down,touchdown
20140921024,4,11,2.75,0.0
20140921025,6,55,9.166666666666666,0.0
20140921026,2,4,2.0,0.0
20140921027,3,18,6.0,0.0
20140921028,1,6,6.0,0.0
20140921029,5,33,6.6,0.0
20140921031,2,8,4.0,0.0
20140921032,1,3,3.0,0.0
20140921033,1,4,4.0,0.0
20140921034,1,3,3.0,0.0
20140921035,2,6,3.0,0.0
20140921036,3,26,8.666666666666666,0.0
20140921037,4,25,6.25,1.0
20140921038,2,5,2.5,0.0
20140921039,1,-1,-1.0,0.0
20140921041,4,14,3.5,0.0
20140921042,1,2,2.0,0.0
20140921043,4,20,5.0,1.0
20140921044,1,7,7.0,0.0
20140921045,4,52,13.0,1.0
20140921046,1,0,0.0,0.0
20140921047,2,15,7.5,0.0
20140921048,2,5,2.5,0.0
20140921049,4,55,13.75,0.0
20140921051,2,5,2.5,0.0
20140921052,1,0,0.0,0.0
20140921053,6,27,4.5,0.0
20140921054,4,13,3.25,0.0
20140921055,3,4,1.3333333333333333,0.0
20140921056,6,22,3.6666666666666665,1.0
20140921057,1,0,0.0,0.0
20140921058,4,16,4.0,0.0
20140921059,1,3,3.0,0.0
20140921061,7,52,7.428571428571429,0.0
20140921062,1,2,2.0,0.0
20140921063,4,33,8.25,1.0
20140921064,5,13,2.6,0.0
20140921065,1,0,0.0,0.0
20140921066,3,-13,-4.333333333333333,0.0
20140921067,2,13,6.5,0.0
20140921068,2,16,8.0,0.0
20140921069,3,21,7.0,0.0
20140921071,2,6,3.0,0.0
20140921072,3,22,7.333333333333333,0.0
20140921073,5,34,6.8,0.0
20140921074,1,0,0.0,0.0
20140921075,2,4,2.0,0.0
20140921076,2,19,9.5,0.0
20140921077,3,25,8.333333333333334,0.0
20140921078,1,1,1.0,0.0
20140921079,5,40,8.0,0.0
20140921081,6,38,6.333333333333333,1.0
20140921083,5,13,2.6,1.0
20140921084,4,7,1.75,0.0
20140921085,5,14,2.8,0.0
20140921086,5,51,10.2,1.0
20140921087,4,11,2.75,0.0
20140921088,4,12,3.0,1.0
20140921089,1,-1,-1.0,0.0
20140921091,6,30,5.0,1.0
20140921092,3,4,1.3333333333333333,0.0
20140921093,2,5,2.5,1.0
20140921094,1,0,0.0,0.0
20140921095,3,11,3.6666666666666665,0.0
20140921096,1,2,2.0,0.0
20140921097,5,37,7.4,0.0
20140921098,4,20,5.0,0.0
20140921099,4,14,3.5,0.0
20140921101,2,4,2.0,0.0
20140921102,5,30,6.0,1.0
20140921103,7,31,4.428571428571429,0.0
20140921104,6,33,5.5,1.0
20140921105,2,13,6.5,0.0
20140921106,3,5,1.6666666666666667,0.0
20140921107,2,13,6.5,0.0
20140921108,2,6,3.0,0.0
20140921109,3,26,8.666666666666666,0.0
20140921111,2,10,5.0,0.0
20140921112,3,14,4.666666666666667,0.0
20140921113,4,14,3.5,0.0
20140921114,1,-5,-5.0,0.0
20140921115,2,12,6.0,0.0
20140921116,2,1,0.5,0.0
20140921117,3,50,16.666666666666668,0.0
20140921118,4,37,9.25,0.0
20140921119,2,1,0.5,0.0
20140921121,1,2,2.0,0.0
20140921122,1,9,9.0,0.0
20140921123,2,20,10.0,0.0
20140921124,7,18,2.5714285714285716,0.0
20140921125,1,7,7.0,0.0
20140921126,2,1,0.5,0.0
20140921127,3,16,5.333333333333333,0.0
20140921128,3,-1,-0.3333333333333333,0.0
20140921129,3,57,19.0,0.0
20140921131,3,5,1.6666666666666667,0.0
20140921132,5,54,10.8,0.0
20140921133,1,-2,-2.0,0.0
20140921134,1,-1,-1.0,0.0
20140921135,3,0,0.0,0.0
20140921136,1,3,3.0,0.0
20140921137,6,30,5.0,0.0
20140921138,4,14,3.5,0.0
20140921139,4,18,4.5,0.0
20140922001,2,11,5.5,0.0
20140922002,2,8,4.0,0.0
20140922003,1,0,0.0,0.0
20140922004,2,0,0.0,1.0
20140922005,4,11,2.75,0.0
20140922006,6,38,6.333333333333333,0.0
20140922007,3,8,2.6666666666666665,0.0
20140922008,2,6,3.0,0.0
20140922009,4,20,5.0,1.0
20140925001,2,14,7.0,0.0
20140925002,3,18,6.0,0.0
20140925003,2,9,4.5,1.0
20140925004,1,3,3.0,0.0
20140925005,1,7,7.0,0.0
20140925006,2,0,0.0,0.0
20140925007,4,57,14.25,1.0
20140925008,7,61,8.714285714285714,0.0
20140925009,5,7,1.4,0.0
20140928001,5,10,2.0,0.0
20140928002,3,31,10.333333333333334,0.0
20140928003,2,5,2.5,0.0
20140928004,2,10,5.0,1.0
20140928005,5,8,1.6,1.0
20140928006,5,59,11.8,1.0
20140928007,1,0,0.0,0.0
20140928008,3,21,7.0,0.0
20140928009,1,7,7.0,0.0
20140928011,6,20,3.3333333333333335,1.0
20140928012,4,36,9.0,1.0
20140928013,6,42,7.0,0.0
20140928014,5,40,8.0,1.0
20140928015,5,38,7.6,1.0
20140928016,4,35,8.75,1.0
20140928017,4,18,4.5,0.0
20140928018,3,6,2.0,0.0
20140928019,4,31,7.75,0.0
20140928021,1,3,3.0,0.0
20140928022,2,7,3.5,0.0
20140928023,2,7,3.5,0.0
20140928024,1,4,4.0,0.0
20140928025,1,4,4.0,0.0
20140928026,2,-1,-0.5,0.0
20140928027,6,27,4.5,0.0
20140928028,4,29,7.25,0.0
20140928029,4,22,5.5,0.0
20140928031,6,20,3.3333333333333335,0.0
20140928032,2,3,1.5,0.0
20140928033,2,38,19.0,0.0
20140928034,5,7,1.4,1.0
20140928035,2,29,14.5,0.0
20140928036,4,10,2.5,0.0
20140928037,1,1,1.0,0.0
20140928038,1,0,0.0,0.0
20140928039,3,51,17.0,0.0
20140928041,1,0,0.0,0.0
20140928042,3,8,2.6666666666666665,1.0
20140928043,4,14,3.5,1.0
20140928044,3,42,14.0,1.0
20140928045,3,9,3.0,0.0
20140928046,2,55,27.5,0.0
20140928047,6,16,2.6666666666666665,1.0
20140928048,4,33,8.25,1.0
20140928049,1,6,6.0,0.0
20140928051,6,41,6.833333333333333,0.0
20140928052,2,2,1.0,0.0
20140928053,1,0,0.0,0.0
20140928054,3,4,1.3333333333333333,0.0
